"RUL","x.slope","x.seg.sd","x.seg.skewness","x.seg.kurtosis","x.max","x.skewness","x.kurtosis","x.spec1","x.spec1.f","x.spec2","x.spec2.f","x.spec.mean","x.spec.var","x.spec.skewness","x.spec.kurtosis"
60635,-1.77487111908644e-05,155.2940837219,-0.773632063484064,-0.812080545328495,0.63361,0.885392972075933,1.49161928017517,0.0321146078769675,0.205,0.0302313174679607,0.218333333333333,0.00453835251772167,2.20003408416623e-05,2.41464657183592,8.32921708625972
33752,3.12147316798103e-05,138.657742000889,0.552927397775325,-0.485808190677953,0.794972,0.582623678150159,0.528743793507953,0.469068601041228,0.116666666666667,0.144701879997746,0.115,0.0108401918331965,0.000862667369809443,13.2313497838527,198.002796227757
71367,5.45141533726484e-05,202.467763815911,0.320293950669923,-1.54188681303085,0.575124,0.686677286731898,0.95184587504328,0.0805107746512679,0.00333333333333333,0.0210739873800547,0.416666666666667,0.00464521800177333,3.48203631454734e-05,7.43511740027,89.4769928232512
33837,4.07250512084756e-05,131.843103083344,-0.319288280915552,-0.540208029229549,0.794972,0.667001088434096,0.596127391029033,0.448751711955351,0.116666666666667,0.151700777342465,0.115,0.010988640234686,0.000843612123398873,12.2275222022398,173.748874848476
21625,-7.42736090378029e-05,231.808254095204,-0.448643214146655,-1.57465911573661,1.031312,0.313258932769603,0.0491128651495383,0.529261603225017,0.12,0.115737297602442,0.126666666666667,0.0198908848423836,0.00124589044223469,10.37138932961,143.233996231438
53591,4.1481063336287e-05,97.407944708364,0.485470961540533,-0.746702163235571,0.593419,0.785412012058752,0.647896697603938,0.0358084204163116,0.00166666666666667,0.0337947774202256,0.456666666666667,0.00494264479612258,2.49254954763214e-05,2.30392823496168,8.49093136865218
58895,1.62105570848808e-05,92.5176407295055,-0.813549593607582,0.772144005303813,0.721233,1.20971832424573,3.16620879727476,0.0532077317656271,0.0566666666666667,0.0416124194373322,0.153333333333333,0.00562623434561111,4.6417413874026e-05,2.92250398379055,12.5025257022542
80765,-1.21722829785635e-06,152.213472388191,0.309920539012337,-1.25650307945098,0.424231,0.671348132285578,1.6475677364266,0.0296609192341565,0.09,0.0149010996795451,0.0566666666666667,0.00183311259029173,6.16700015362108e-06,5.8178454303789,54.371008296481
6266,3.81834734818707e-05,120.752736338906,0.74186706557757,0.326993654825085,1.622511,0.302646747333013,0.0987521366092197,0.482588517812297,0.25,0.283704014157429,0.26,0.0560725098787944,0.00334081692565163,2.45525121710419,10.6773998839872
46699,-1.36028105633627e-05,171.785978323275,-0.316398964974554,-1.25552380021039,0.621561,0.490564091099634,0.3356304890663,0.0432990916817741,0.0866666666666667,0.0341284303627152,0.306666666666667,0.00551118628030098,3.59978494204237e-05,2.45405842562424,8.66800990635233
83780,2.13083383842733e-05,119.866466319397,-0.929773994377759,0.331245746541209,0.352663,0.631837690778842,0.461056038362799,0.0189630365122154,0.09,0.0156351460517361,0.01,0.00175359292639866,4.41580685138677e-06,3.87262369788362,22.6462909407611
14532,0.000128148056966825,149.653248448678,0.199667319886546,-1.24040091363896,1.346198,0.480307736522995,0.251392839491823,0.939296031438126,0.123333333333333,0.319358473580147,0.246666666666667,0.0391866457082158,0.00426567687286869,9.36567662989138,120.066526475711
35697,1.34788551912644e-05,154.029366523511,-0.343102468902523,-1.50033359948834,0.812178,0.880084286824542,1.67261014059593,0.0653142122177705,0.116666666666667,0.0588861996991826,0.113333333333333,0.00898766417416208,9.815334214861e-05,2.46757098699605,7.51279957153724
82747,-8.19538332050919e-07,134.089889131683,-0.00566965437214508,-0.92121376418751,0.32755,0.304119223118473,-0.251709997360571,0.0288803488235068,0.09,0.012813784426166,0.0366666666666667,0.00178587201906158,5.56466605614305e-06,5.99773489166386,58.7242555240444
75115,-5.09162303228615e-07,130.216677037634,0.379786295143964,-0.782833467485735,0.450998,0.741101706590195,1.48542701842489,0.0180810676149962,0.09,0.0138949814756777,0.478333333333333,0.00237986945717111,5.93629153008487e-06,2.02227542468711,6.89831558926737
41438,7.67361051002926e-06,136.969830265106,-0.653227697729375,-0.60584400721832,0.686143,0.824622855835113,1.01423934058022,0.0515341173584384,0.0366666666666667,0.0410053980845762,0.113333333333333,0.00805936697827875,6.74045002428046e-05,1.77656890804583,3.77016811272978
7972,1.89155729321475e-05,105.731468037351,-0.162261297289405,-0.738659490399613,1.822622,0.789254347393378,1.00649375556238,1.47645652830167,0.123333333333333,0.6708993493406,0.376666666666667,0.0637647111209901,0.0123918268455955,8.01058976349776,89.5449762459064
80569,-1.61296032211201e-05,178.591633142685,0.345555626243301,-1.09144173081764,0.424231,0.737046782848273,1.74513400234989,0.0191897269513518,0.09,0.0135926673433601,0.0566666666666667,0.00179180329744306,4.79445634489831e-06,3.33600635759513,17.2477559619336
3120,9.88836650935142e-05,132.31416564893,-0.1926845414621,-0.828062000368583,1.838142,0.199529603227873,-0.4828140043197,0.900996484787113,0.0766666666666667,0.871427450302393,0.128333333333333,0.0851231166146666,0.0144395843730264,3.56481009944904,16.6707321974305
73626,2.99041327614799e-05,109.478680748635,-1.69929875608886,2.95127278375396,0.428989,0.842343370746242,0.930361143587363,0.0171483065852661,0.136666666666667,0.0155558151475878,0.0316666666666667,0.00241584936741666,6.62533980561055e-06,2.33320443092509,7.59563285705698
37882,3.61142119561442e-05,128.06010109614,0.612314390284127,-0.950904252724547,0.682815,0.577811036350593,0.386289066729196,0.055247084048459,0.00166666666666667,0.0517273116343791,0.181666666666667,0.00762207306389128,5.85890650563691e-05,2.3803507846785,9.07770273696432
